# HOSTNAME = prod2-0175
bs,llc_load_misses,rep,l1_load_misses,algo,wall_time
50,53554559,1,182243306,tiled,1.843327496
51,51972534,1,184828069,tiled,1.768654131
52,53121419,1,179724020,tiled,1.735201447
53,55346107,1,187303595,tiled,1.789217794
54,55682103,1,181039609,tiled,1.847640057
55,57039352,1,187075672,tiled,1.814892281
56,48783901,1,181139959,tiled,1.688060152
57,52235270,1,185707882,tiled,1.728960421
58,57478965,1,180069971,tiled,1.875233443
59,54543616,1,186757769,tiled,1.764401131
60,56437310,1,177520478,tiled,1.750044336
61,58296379,1,188569485,tiled,1.831945856
62,59045214,1,179085839,tiled,1.881139422
63,59399649,1,188765727,tiled,1.826060317
64,55221424,1,174529681,tiled,1.708247671
65,54595269,1,185328382,tiled,1.744221356
66,53911806,1,183920637,tiled,1.720393026
67,56624850,1,185946501,tiled,1.782890705
68,53688695,1,182982553,tiled,1.7237975
69,59426839,1,187573925,tiled,1.80626535
70,54464308,1,183140040,tiled,1.743026387
71,60763830,1,187849901,tiled,1.828529967
72,52538905,1,179134253,tiled,1.718368983
73,56404028,1,182765409,tiled,1.770635886
74,55643562,1,181596717,tiled,1.751997435
75,58232943,1,183554270,tiled,1.795533882
76,55309398,1,180819424,tiled,1.748325853
77,61551690,1,185279792,tiled,1.812410139
78,56104611,1,181010298,tiled,1.759912693
79,62612716,1,185382474,tiled,1.833981343
80,53941380,1,178798776,tiled,1.743822717
81,58172164,1,182105708,tiled,1.777931652
82,57341128,1,181104238,tiled,1.757580661
83,60159326,1,182925538,tiled,1.79441579
84,57289768,1,180577342,tiled,1.754912574
85,63474591,1,184606327,tiled,1.820442991
86,58293616,1,180774362,tiled,1.76122725
87,64315832,1,184554031,tiled,1.835684708
88,56078313,1,179745353,tiled,1.736390263
89,60294375,1,182720613,tiled,1.780308814
90,59785413,1,181851551,tiled,1.762846491
91,62420158,1,183588103,tiled,1.802105909
92,59725321,1,181300196,tiled,1.761954874
93,65579186,1,185164606,tiled,1.830763848
94,60722563,1,181422443,tiled,1.772833691
95,66409473,1,185218837,tiled,1.848471166
96,58964526,1,179621489,tiled,1.764103045
97,62668766,1,182381061,tiled,1.792031842
98,62239064,1,181723603,tiled,1.777903926
99,64588371,1,183296410,tiled,1.817899131
100,62242158,1,181291655,tiled,1.780754309
101,67100434,1,184955231,tiled,1.835387363
102,64020288,1,181409535,tiled,1.79614565
103,67470669,1,184827193,tiled,1.836883062
104,61176097,1,180340359,tiled,1.769040796
105,64349120,1,182807260,tiled,1.802782553
106,63863447,1,182053911,tiled,1.802034558
107,65896774,1,183659887,tiled,1.809961185
108,63677314,1,181627087,tiled,1.786875236
109,67757737,1,185120509,tiled,1.820931029
110,64544824,1,181873556,tiled,1.792618898
111,68154475,1,185359691,tiled,1.82758358
112,62501622,1,182693947,tiled,1.768719806
113,65612665,1,185350311,tiled,1.787542262
114,65045881,1,184464093,tiled,1.777888065
115,66479454,1,186070908,tiled,1.794496216
116,64934486,1,184204156,tiled,1.774158969
117,68013517,1,187510138,tiled,1.807827888
118,65665138,1,184536000,tiled,1.777289127
119,68468598,1,187861989,tiled,1.814250424
120,64261832,1,183726848,tiled,1.777850975
121,66601770,1,186260504,tiled,1.783173608
122,66258314,1,185455771,tiled,1.775406226
123,67603643,1,186920466,tiled,1.800178931
124,66304297,1,185091977,tiled,1.74901454
125,68896750,1,187994963,tiled,1.804478743
126,66603083,1,185463472,tiled,1.780021299
127,69162656,1,188392901,tiled,1.80863263
128,65288919,1,182769280,tiled,1.773405728
129,67441372,1,185274399,tiled,1.779339965
130,66978551,1,184554190,tiled,1.784171028
131,67828389,1,186117800,tiled,1.795728059
132,67000584,1,184611217,tiled,1.780631768
133,69964125,1,187498685,tiled,1.809202224
134,67403574,1,185145443,tiled,1.785284674
135,70636699,1,188162997,tiled,1.816904879
136,66319868,1,185300969,tiled,1.762474264
137,68429775,1,187609292,tiled,1.788996284
138,67888984,1,187231174,tiled,1.770928792
139,69595919,1,188839292,tiled,1.798250017
140,67953012,1,187533730,tiled,1.780774655
141,71436018,1,190528167,tiled,1.805386067
142,68384976,1,188026319,tiled,1.784672366
143,72171445,1,191553322,tiled,1.81070951
144,67501387,1,187891166,tiled,1.777150572
145,70000435,1,190396505,tiled,1.790933965
146,69517044,1,189971586,tiled,1.783087921
147,72128938,1,192855477,tiled,1.81593102
148,69530238,1,190376025,tiled,1.781466142
149,73287163,1,192992208,tiled,1.804170743
150,70366518,1,191176120,tiled,1.785565377
151,74350230,1,193943423,tiled,1.807761184
152,68996473,1,190927155,tiled,1.772136582
153,71829028,1,193184270,tiled,1.789689479
154,71100297,1,192519725,tiled,1.782576344
155,73403030,1,194531993,tiled,1.793578706
156,71420492,1,193085768,tiled,1.778729462
157,75118933,1,195797095,tiled,1.797981076
158,72215181,1,193618122,tiled,1.781487694
159,76323705,1,197032433,tiled,1.808082525
160,70452010,1,195080633,tiled,1.768589521
161,73715775,1,197658806,tiled,1.778964771
162,73286582,1,197328311,tiled,1.779362704
163,74965101,1,199890371,tiled,1.789137051
164,73283055,1,198450575,tiled,1.777348264
165,76760495,1,202277146,tiled,1.795118749
166,74065465,1,199907601,tiled,1.779047218
167,77524586,1,204128437,tiled,1.798099541
168,73155530,1,200991203,tiled,1.77404321
169,75522296,1,203198721,tiled,1.784449688
170,74942199,1,203285038,tiled,1.777956149
171,76831312,1,205703517,tiled,1.788030813
172,75082891,1,204819862,tiled,1.776405835
173,78602112,1,208628076,tiled,1.792704841
174,75769761,1,206888056,tiled,1.775459774
175,79202046,1,210602944,tiled,1.795648581
176,74664870,1,207273772,tiled,1.769195426
177,77249281,1,209468320,tiled,1.780308703
178,77168030,1,208826327,tiled,1.805726903
179,78284886,1,211360418,tiled,1.785960178
180,76959871,1,210945491,tiled,1.775859856
181,79899494,1,212582275,tiled,1.796986914
182,77551143,1,212607860,tiled,1.778707081
183,80717481,1,213984064,tiled,1.800861995
184,76077506,1,212682146,tiled,1.768220218
185,78664111,1,214620104,tiled,1.775506153
186,77972658,1,214251439,tiled,1.775195705
187,79603350,1,216045199,tiled,1.779954561
188,78069024,1,215273923,tiled,1.773232467
189,81011299,1,217884344,tiled,1.791705862
190,78742592,1,216524936,tiled,1.776485551
191,81644053,1,219465382,tiled,1.797652819
192,77475293,1,218093876,tiled,1.767795018
193,79855150,1,220508261,tiled,1.781499775
194,79183228,1,220598736,tiled,1.773287931
195,80576489,1,222994835,tiled,1.785151408
196,79236632,1,222765862,tiled,1.77472321
197,81605561,1,226275661,tiled,1.792662994
198,79820430,1,225062394,tiled,1.779311929
199,81975137,1,229326530,tiled,1.797117207
200,78826231,1,228281602,tiled,1.773067995
201,80469964,1,230034668,tiled,1.786267581
202,80278279,1,230996714,tiled,1.781749886
203,80978501,1,234655335,tiled,1.789403861
204,80316645,1,233680102,tiled,1.780541096
205,81874857,1,237574167,tiled,1.793709688
206,80390837,1,236099661,tiled,1.782135855
207,82181911,1,241226891,tiled,1.797143319
208,78895437,1,239299741,tiled,1.771833717
209,80661906,1,250147154,tiled,1.795270744
210,80401453,1,242414966,tiled,1.778349201
211,81264271,1,245826903,tiled,1.783634756
212,80251163,1,245095888,tiled,1.775650191
213,81810670,1,249043921,tiled,1.787749296
214,80862578,1,248145560,tiled,1.777332982
215,82143068,1,252858760,tiled,1.788106216
216,79603285,1,248939854,tiled,1.770825865
217,81136930,1,251122516,tiled,1.779073247
218,80787893,1,251413019,tiled,1.774388099
219,81715801,1,254715101,tiled,1.779464067
220,80709624,1,253585314,tiled,1.773274257
221,82087166,1,257830549,tiled,1.782561464
222,81252668,1,256778537,tiled,1.774759271
223,82268028,1,260978211,tiled,1.787914968
224,79833778,1,258007696,tiled,1.76931739
225,81599142,1,261424808,tiled,1.779296559
226,81079908,1,262278437,tiled,1.774287303
227,81721810,1,267250543,tiled,1.784289393
228,80848224,1,267021816,tiled,1.77506662
229,81968235,1,271642394,tiled,1.786685247
230,81131725,1,271124950,tiled,1.776782086
231,82137996,1,277301345,tiled,1.78721554
232,80090774,1,274859735,tiled,1.7709918
233,80821603,1,280425632,tiled,1.780260969
234,80918585,1,281079908,tiled,1.777185819
235,81339225,1,284908473,tiled,1.784414579
236,80715444,1,285725291,tiled,1.777854763
237,81821887,1,290558133,tiled,1.832009276
238,80790419,1,290792906,tiled,1.78086193
239,81742412,1,297218849,tiled,1.789966919
240,79953138,1,295852676,tiled,1.780417123
241,80903972,1,298612101,tiled,1.787108756
242,80663440,1,301395768,tiled,1.636255578
243,80949551,1,313641110,tiled,1.798558339
244,80448308,1,306178182,tiled,1.781982759
245,81418722,1,311023094,tiled,1.794891288
246,80809790,1,312294108,tiled,1.788040709
247,81463532,1,316737315,tiled,1.795058508
248,79755700,1,314004620,tiled,1.77984322
249,80788536,1,318517920,tiled,1.787221584
250,80844338,1,321168226,tiled,1.78398976
251,80903587,1,324039795,tiled,1.790792001
252,80306133,1,325571460,tiled,1.7861859
253,81335857,1,332246642,tiled,1.796222837
254,80474656,1,330873024,tiled,1.788156326
255,81103267,1,336952678,tiled,1.799395142
256,79693443,1,334484816,tiled,1.784851933
257,80697434,1,341071150,tiled,1.792036003
258,80262545,1,342796263,tiled,1.789898004
259,80469667,1,348494712,tiled,1.797448482
260,80081071,1,350693478,tiled,1.79234153
261,80613726,1,357621005,tiled,1.804661345
262,79973639,1,358058872,tiled,1.79682456
263,80597196,1,365649304,tiled,1.805430038
264,79427562,1,365485716,tiled,1.79493188
265,80040470,1,371450706,tiled,1.800731662
266,79818332,1,374025930,tiled,1.797318039
267,79868791,1,379640213,tiled,1.803589821
268,79680121,1,382734255,tiled,1.796994107
269,80148194,1,388929154,tiled,1.808258468
270,79591885,1,390022641,tiled,1.808924235
271,80078112,1,396558611,tiled,1.81609566
272,78786349,1,397755557,tiled,1.802780562
273,79375487,1,404081993,tiled,1.81122603
274,79187665,1,405678706,tiled,1.811493598
275,79318167,1,411392074,tiled,1.816128394
276,78944726,1,414515838,tiled,1.812583828
277,79431311,1,424475755,tiled,1.825774314
278,78972524,1,421268854,tiled,1.815387229
279,79281210,1,427229153,tiled,1.823001246
280,78175498,1,428400631,tiled,1.815443208
281,78994767,1,434785156,tiled,1.825013052
282,78629511,1,436146096,tiled,1.821618203
283,78739959,1,442419368,tiled,1.83133249
284,78056474,1,443372463,tiled,1.822542392
285,78839117,1,449272624,tiled,1.833517378
286,78205277,1,451195281,tiled,1.827600917
287,78637499,1,454127834,tiled,1.835566927
288,77319304,1,455762761,tiled,1.824030073
289,78073936,1,457485494,tiled,1.831351653
290,78098466,1,458480576,tiled,1.829215565
291,78106000,1,457525431,tiled,1.831571722
292,77774320,1,456402864,tiled,1.826539451
293,78230184,1,457912905,tiled,1.836458138
294,77934002,1,458297598,tiled,1.831183103
295,78518314,1,460299402,tiled,1.860795507
296,77288470,1,456575501,tiled,1.824457203
297,77848258,1,457030790,tiled,1.838334561
298,77660693,1,457686185,tiled,1.829545253
299,78010636,1,458841513,tiled,1.831740556
300,77767383,1,459516233,tiled,1.825493237
362,76429595,1,458500143,tiled,1.819126685
512,74075857,1,458375504,tiled,1.82385013
724,71726885,1,459382846,tiled,1.860107786
1024,69929388,1,458771040,tiled,1.866987073
1448,68482893,1,458372891,tiled,1.87166404
2048,76765316,1,454766769,tiled,2.051864693
2896,70122410,1,454328984,tiled,2.104517549
4096,45925323,1,454750535,tiled,1.916383646
5793,45392825,1,454527271,tiled,1.936932369
8192,46487913,1,454352079,tiled,1.944432348
11585,57691418,1,453280533,tiled,2.097115525
16384,46073048,1,453580250,tiled,1.997884876
23170,43698581,1,453097129,tiled,2.010255307
32768,43691922,1,453102160,tiled,2.00767401
46341,43688343,1,453105081,tiled,2.007175195
65536,43697152,1,453107519,tiled,2.008638713
92682,43692782,1,453098616,tiled,2.010001266
131072,43692555,1,453106107,tiled,2.006922235
185364,43693254,1,453101084,tiled,2.006762107
262144,43691235,1,453088133,tiled,2.008250105
370728,43694518,1,453106475,tiled,2.009992852
524288,43691927,1,453108222,tiled,2.007532048
741455,43699305,1,453102233,tiled,2.007097518
1,43692179,2,453101985,ij,2.009316762
1,43693027,2,453108203,ji,2.009012691
1,43697388,2,453105355,tiled,2.006691307
2,42377459,2,451725220,tiled,1.970678532
3,42380716,2,451706547,tiled,1.969716107
4,42438376,2,451771093,tiled,1.991359449
5,45389935,2,456032024,tiled,1.993932051
6,42351688,2,451702963,tiled,1.996347336
7,42367694,2,451650452,tiled,1.981941611
8,52464277,2,190642933,tiled,1.801971612
9,42915254,2,208051065,tiled,1.786795988
10,56745170,2,213853697,tiled,1.847176472
11,42969205,2,202541158,tiled,1.790050983
12,42803516,2,195088564,tiled,1.737164956
13,42852385,2,211660347,tiled,1.760990432
14,42870584,2,193874501,tiled,1.73191375
15,42932840,2,209975767,tiled,1.859793363
16,42401397,2,183868694,tiled,1.651271858
17,42909215,2,192057178,tiled,1.871204218
18,42862599,2,187220593,tiled,1.739825675
19,42971446,2,197614464,tiled,1.845431373
20,42868297,2,183400323,tiled,1.752517168
21,43095725,2,202425898,tiled,1.850922381
22,42965484,2,184114434,tiled,1.74903314
23,43235487,2,201836258,tiled,1.886954313
24,42843249,2,178111103,tiled,1.725746995
25,43144410,2,192653083,tiled,1.804762701
26,43469016,2,196367289,tiled,1.865625344
27,43474362,2,195058286,tiled,1.811788645
28,43573431,2,191023197,tiled,1.736372116
29,44021758,2,198684570,tiled,1.828252294
30,44223660,2,193028489,tiled,1.830780898
31,44702118,2,197700214,tiled,1.847011491
32,43350274,2,175173542,tiled,1.7041893
33,44038133,2,186283791,tiled,1.75396426
34,45372809,2,190158919,tiled,1.834343736
35,44794806,2,188145569,tiled,1.787404956
36,45551746,2,185559575,tiled,1.715832929
37,46173623,2,190755341,tiled,1.810271717
38,46884869,2,187714461,tiled,1.823514867
39,47272564,2,190423155,tiled,1.842576382
40,44674843,2,178571727,tiled,1.687441086
41,46370396,2,184892940,tiled,1.771090316
42,48607452,2,186661385,tiled,1.840392895
43,47813965,2,185999128,tiled,1.784507704
44,49123341,2,182529926,tiled,1.724293159
45,50541629,2,188791110,tiled,1.79426149
46,51182418,2,183773087,tiled,1.835265053
47,52348357,2,188897253,tiled,1.806591841
48,49386037,2,177652219,tiled,1.686315414
49,49408884,2,183328364,tiled,1.743365413
50,53489982,2,182258880,tiled,1.84020015
51,51904378,2,184838437,tiled,1.764387363
52,53024325,2,179746498,tiled,1.732356352
53,55249263,2,187289838,tiled,1.787920364
54,55619901,2,181040670,tiled,1.846425858
55,56968467,2,187082120,tiled,1.81316669
56,48797001,2,181156898,tiled,1.684382827
57,52212565,2,185705385,tiled,1.725953395
58,57413562,2,180076652,tiled,1.873327889
59,54510014,2,186752096,tiled,1.763159086
60,56421641,2,177518640,tiled,1.746795281
61,57972487,2,188697617,tiled,1.797505666
62,59030380,2,179095055,tiled,1.878932338
63,59340715,2,188767097,tiled,1.82103412
64,55208283,2,174538613,tiled,1.707010801
65,54561680,2,185348007,tiled,1.742740468
66,53914760,2,183912317,tiled,1.723013027
67,56570618,2,185949250,tiled,1.78144176
68,53670506,2,182988959,tiled,1.724075227
69,59394916,2,187576596,tiled,1.805158675
70,54478919,2,183148146,tiled,1.742140055
71,60759549,2,187859385,tiled,1.825668382
72,52547186,2,179136213,tiled,1.717995741
73,56440168,2,182774979,tiled,1.771846571
74,55655796,2,181595334,tiled,1.752584533
75,58217543,2,183557037,tiled,1.793137771
76,55297452,2,180823834,tiled,1.74532093
77,61556007,2,185274532,tiled,1.811730894
78,56080386,2,181010749,tiled,1.758071817
79,62639948,2,185378087,tiled,1.830859614
80,53945828,2,178792983,tiled,1.738855177
81,58168621,2,182118428,tiled,1.773468741
82,57329730,2,181104170,tiled,1.754135964
83,60592384,2,182882497,tiled,1.827476058
84,57302934,2,180577118,tiled,1.751608449
85,63517151,2,184624903,tiled,1.816468973
86,58344669,2,180726652,tiled,1.778186012
87,64353537,2,184550777,tiled,1.83233077
88,56118612,2,179745821,tiled,1.735078176
89,60340208,2,182722385,tiled,1.779493347
90,59805224,2,181824717,tiled,1.761331015
91,62446804,2,183574792,tiled,1.800028007
92,59793453,2,181300261,tiled,1.761791523
93,65647078,2,185191086,tiled,1.827798399
94,60786395,2,181418074,tiled,1.772630282
95,66438745,2,185214319,tiled,1.845835321
96,58959579,2,179623972,tiled,1.761013236
97,62724642,2,182380458,tiled,1.791378274
98,62288068,2,181732741,tiled,1.775556116
99,64633252,2,183283638,tiled,1.813642043
100,62222990,2,181248387,tiled,1.776850515
101,67126273,2,184929476,tiled,1.830546509
102,64063843,2,181407072,tiled,1.795327733
103,67516513,2,184812260,tiled,1.834897665
104,61208289,2,180343830,tiled,1.765807219
105,64381391,2,182795097,tiled,1.797744312
106,63902559,2,182074380,tiled,1.789782893
107,65917484,2,183661719,tiled,1.809870558
108,63702606,2,181627741,tiled,1.784965814
109,67802627,2,185121780,tiled,1.819515552
110,64582805,2,181884503,tiled,1.785684157
111,68189730,2,185394052,tiled,1.822941545
112,62560193,2,182682413,tiled,1.76676473
113,65628017,2,185354944,tiled,1.78529608
114,65085340,2,184495537,tiled,1.774331168
115,66478367,2,186083950,tiled,1.791139843
116,64961825,2,184212288,tiled,1.772050023
117,67968243,2,187521664,tiled,1.80644483
118,65620161,2,184565226,tiled,1.775294379
119,68411619,2,187853065,tiled,1.812776991
120,64175856,2,183765725,tiled,1.761765569
121,66573214,2,186251867,tiled,1.782571041
122,66210673,2,185442897,tiled,1.774324432
123,67529901,2,186977107,tiled,1.794110822
124,66198457,2,185114352,tiled,1.772204049
125,68827736,2,188022501,tiled,1.801313834
126,66534218,2,185465314,tiled,1.776615027
127,69162709,2,188414943,tiled,1.806163365
128,65244970,2,182791529,tiled,1.772970009
129,67354382,2,185286087,tiled,1.78790208
130,66943059,2,184565945,tiled,1.780280176
131,67786678,2,186102340,tiled,1.793365159
132,66966645,2,184619142,tiled,1.777059776
133,69903672,2,187515307,tiled,1.80637771
134,67324497,2,185159544,tiled,1.781788075
135,70583693,2,188168538,tiled,1.813278815
136,66308415,2,185310717,tiled,1.770194089
137,68417479,2,187634684,tiled,1.791174434
138,67815018,2,187220367,tiled,1.7824084
139,69570573,2,188843185,tiled,1.799579718
140,67908784,2,187546299,tiled,1.781408713
141,71722392,2,190493251,tiled,1.821946819
142,68335718,2,188031508,tiled,1.791552161
143,72144919,2,191576191,tiled,1.812698849
144,67489147,2,187870793,tiled,1.787139946
145,69988359,2,190417609,tiled,1.791825502
146,69479604,2,189994741,tiled,1.784972179
147,72085383,2,192869392,tiled,1.815253053
148,69479776,2,190376465,tiled,1.781115631
149,73243009,2,192996149,tiled,1.804756565
150,70309630,2,191169352,tiled,1.784414199
151,74281074,2,193973808,tiled,1.809993449
152,68947969,2,190959819,tiled,1.772773393
153,71808019,2,193169192,tiled,1.789367855
154,71055336,2,192567918,tiled,1.783323205
155,73360986,2,194539530,tiled,1.787245896
156,71431671,2,193082341,tiled,1.781735179
157,75076122,2,195814287,tiled,1.768526831
158,72143397,2,193652842,tiled,1.783758606
159,76261761,2,197044095,tiled,1.808879157
160,70469217,2,195095845,tiled,1.769335319
161,73737604,2,197614160,tiled,1.784594735
162,73282830,2,197357907,tiled,1.778568394
163,74945215,2,199897574,tiled,1.789253927
164,73272584,2,198484674,tiled,1.774954339
165,76753051,2,202262094,tiled,1.795181925
166,74030856,2,199927981,tiled,1.77704326
167,77506131,2,204140801,tiled,1.796887736
168,73103218,2,201015931,tiled,1.772591117
169,75615980,2,203737465,tiled,1.785042225
170,74951271,2,203289419,tiled,1.779392273
171,76815285,2,205705874,tiled,1.787227555
172,75015216,2,204885267,tiled,1.775774057
173,78553078,2,208629040,tiled,1.793839528
174,75775055,2,206901357,tiled,1.778072916
175,79279937,2,210533283,tiled,1.800517219
176,74746816,2,207171936,tiled,1.77333732
177,77179147,2,209511091,tiled,1.781539584
178,76810728,2,209472492,tiled,1.77641196
179,78271447,2,211342579,tiled,1.788157611
180,76965317,2,210927008,tiled,1.775166663
181,79842827,2,212626906,tiled,1.793083053
182,77544578,2,212611006,tiled,1.779398964
183,80642344,2,214071121,tiled,1.798357109
184,76068391,2,212696359,tiled,1.767364352
185,78686472,2,214611325,tiled,1.780745162
186,77978800,2,214180966,tiled,1.776214203
187,79591360,2,216068027,tiled,1.785357777
188,78091146,2,215282052,tiled,1.772629759
189,81019355,2,217879742,tiled,1.79154259
190,78747501,2,216463337,tiled,1.776638411
191,81644884,2,219472474,tiled,1.798786714
192,77497689,2,218057890,tiled,1.769527489
193,79885526,2,220450837,tiled,1.782981321
194,79215143,2,220576188,tiled,1.775233453
195,80600849,2,222936657,tiled,1.790081904
196,79283286,2,222686794,tiled,1.776750636
197,81621172,2,226251264,tiled,1.795478653
198,79776928,2,225160756,tiled,1.780202523
199,81972483,2,229311706,tiled,1.798995662
200,79289657,2,226723235,tiled,1.821332418
201,80453689,2,230048148,tiled,1.782953551
202,80331917,2,230830060,tiled,1.784099735
203,80955857,2,234632977,tiled,1.787853022
204,80329239,2,233642872,tiled,1.781867712
205,81909893,2,237405004,tiled,1.794608938
206,80394046,2,236095672,tiled,1.780063809
207,82149587,2,241276138,tiled,1.797363267
208,78922658,2,239349539,tiled,1.774550086
209,80703540,2,250057240,tiled,1.799097265
210,80430231,2,242380840,tiled,1.777765025
211,81293302,2,245787774,tiled,1.783537637
212,80301442,2,245097269,tiled,1.778758705
213,81844194,2,249060773,tiled,1.789728768
214,80932201,2,248057418,tiled,1.782633895
215,82152039,2,252792419,tiled,1.790627258
216,79642866,2,248865598,tiled,1.771297877
217,81114361,2,251200931,tiled,1.779601572
218,80799817,2,251434832,tiled,1.776145842
219,81750635,2,254666464,tiled,1.78335688
220,80760315,2,253537923,tiled,1.773776851
221,82067842,2,257842591,tiled,1.78483294
222,81300072,2,256774596,tiled,1.773552833
223,82261689,2,260973677,tiled,1.786516983
224,79881404,2,257917160,tiled,1.770052304
225,81594812,2,261425833,tiled,1.777747362
226,81081137,2,262307048,tiled,1.774689635
227,81683302,2,267375859,tiled,1.781805193
228,80859352,2,266990571,tiled,1.773997189
229,81972839,2,271605905,tiled,1.789650129
230,81148266,2,271037570,tiled,1.779627469
231,82142261,2,277312312,tiled,1.790195076
232,80095624,2,274855014,tiled,1.773864909
233,80807029,2,280397522,tiled,1.782681192
234,80981603,2,280894366,tiled,1.782096224
235,81342095,2,284892031,tiled,1.788042019
236,80730856,2,285646902,tiled,1.780006716
237,81697869,2,291411138,tiled,1.790372216
238,80779851,2,290843498,tiled,1.782151365
239,81741805,2,297170225,tiled,1.794713557
240,79976385,2,295839514,tiled,1.778467741
241,80863253,2,298622155,tiled,1.785674381
242,80670141,2,301448310,tiled,1.783982804
243,80951057,2,313582626,tiled,1.802644967
244,80496075,2,306184667,tiled,1.780713021
245,81455188,2,310843265,tiled,1.805135081
246,80811129,2,312276611,tiled,1.78591904
247,81497240,2,316700467,tiled,1.795336292
248,79779569,2,313984830,tiled,1.781432657
249,80785351,2,318489205,tiled,1.788586184
250,80760692,2,321427437,tiled,1.787224298
251,80892824,2,324026638,tiled,1.792486864
252,80313318,2,325528281,tiled,1.787900395
253,81338423,2,332235079,tiled,1.799958026
254,80511451,2,330844710,tiled,1.788529635
255,81129686,2,336977676,tiled,1.799458455
256,79696084,2,334475109,tiled,1.782973265
257,80723950,2,341075090,tiled,1.794257414
258,80522692,2,341777782,tiled,1.820868376
259,80487957,2,348449269,tiled,1.800437299
260,80084374,2,350733730,tiled,1.793233327
261,80664304,2,357231183,tiled,1.812989193
262,79978973,2,358116667,tiled,1.797706753
263,80645966,2,365595069,tiled,1.808848546
264,79427661,2,365514184,tiled,1.796822286
265,80026830,2,371447884,tiled,1.80048273
266,79853137,2,373985061,tiled,1.799402883
267,79863086,2,379674892,tiled,1.805713528
268,79707412,2,382469271,tiled,1.800336097
269,80145957,2,388907948,tiled,1.810804081
270,79587255,2,390059734,tiled,1.805513879
271,80053811,2,396580409,tiled,1.815285427
272,78781658,2,397783521,tiled,1.8031444
273,79370242,2,404042172,tiled,1.809445028
274,79193703,2,405694733,tiled,1.80991465
275,79316789,2,411396566,tiled,1.815900438
276,78966070,2,414538448,tiled,1.815137658
277,79400552,2,424513888,tiled,1.828530275
278,78994927,2,421237134,tiled,1.818687771
279,79279114,2,427236167,tiled,1.825520042
280,78145815,2,428432443,tiled,1.815724794
281,78977497,2,434805366,tiled,1.824932952
282,78626683,2,436156198,tiled,1.824498791
283,78718692,2,442416942,tiled,1.832952055
284,78055429,2,443376890,tiled,1.822756089
285,78848302,2,449268812,tiled,1.832629612
286,78214859,2,451216358,tiled,1.828732812
287,78656694,2,454144882,tiled,1.835325991
288,77346936,2,455762188,tiled,1.826042432
289,78078283,2,457477412,tiled,1.832882333
290,78123001,2,458474727,tiled,1.83128349
291,78117121,2,457509549,tiled,1.834269128
292,77809162,2,456395436,tiled,1.829797571
293,78236828,2,457906009,tiled,1.832742006
294,77931790,2,458308771,tiled,1.830953853
295,78596465,2,460386707,tiled,1.838636846
